TAZ,Central,NE,NW,SE,SW
3726,0.001756975,0.000182252,0.000565968,0.001326768,0.002671632
3727,0.0,0.0,0.0,0.0,0.0
3728,0.0,0.0,0.0,0.0,0.0
3729,0.0,0.0,0.0,0.0,0.0
3730,0.0,0.0,0.0,0.0,0.0
3731,0.0,0.0,0.0,0.0,0.0
3732,0.001440972,0.000161222,0.000500664,0.001173679,0.000266007
3733,0.0,0.0,0.0,0.0,0.0
3734,0.001374612,0.001209169,0.000446244,0.001046105,0.000237093
3735,0.0,0.0,0.0,0.0,0.0
3736,0.0,0.0,0.0,0.0,0.0
3737,0.0,0.0,0.0,0.0,0.0
3738,0.0,0.0,0.0,0.0,0.0
3739,0.0,0.0,0.0,0.0,0.0
3740,0.0,0.0,0.0,0.0,0.0
3741,0.0,0.0,0.0,0.0,0.0
3742,0.0,0.0,0.0,0.0,0.0
3743,0.000641485,0.0,0.0,0.0,0.011744772
3759,0.001478893,0.000164727,0.000511548,0.001199194,0.000271789
3760,0.0,0.0,0.0,0.0,0.0
3761,0.0,0.0,0.0,0.0,0.0
3762,0.000145361,0.0,0.0,0.0,0.002665849
3763,0.0,0.0,0.0,0.0,0.0
3764,0.0,0.0,0.0,0.0,0.0
3765,0.0,0.0,0.0,0.0,0.0
3766,0.0,0.0,0.0,0.0,0.0
3767,0.000951168,0.000105145,0.00032652,0.000765443,0.000173483
3768,0.0,0.0,0.0,0.0,0.0
3769,0.0,0.0,0.0,0.0,0.0
3770,0.0,0.0,0.0,0.0,0.0
3771,0.000116921,0.0,0.003983543,0.0,0.0
3772,9.16408e-05,0.001023412,0.0,0.0,0.0
3773,0.000752086,0.007510865,0.0,0.0,0.001341599
3774,0.000278082,0.0,0.009621455,0.0,0.0
3797,0.002180419,0.000231319,0.000718344,0.001683974,0.002070226
3798,0.0,0.0,0.0,0.0,0.0
3799,0.0,0.0,0.0,0.0,0.0
3800,0.0,0.0,0.0,0.0,0.0
3801,0.0,0.0,0.0,0.0,0.0
3802,0.0,0.0,0.0,0.0,0.0
3803,0.0,0.0,0.0,0.0,0.0
3804,0.0,0.0,0.0,0.0,0.0
3805,0.0,0.0,0.0,0.0,0.0
3806,0.0,0.0,0.0,0.0,0.0
3807,0.0,0.0,0.0,0.0,0.0
3808,0.0,0.0,0.0,0.0,0.0
3809,0.0,0.0,0.0,0.0,0.0
3810,0.000110601,0.0,0.0,0.0,0.002006615
3811,0.0,0.0,0.0,0.0,0.0
3812,0.0,0.0,0.0,0.0,0.0
3813,0.0,0.0,0.0,0.0,0.0
3814,0.001008049,0.0,0.0,0.0,0.018470115
3815,0.0,0.0,0.0,0.0,0.0
3816,0.0,0.0,0.0,0.0,0.0
3817,0.0,0.0,0.0,0.0,0.0
3818,6.95206e-05,0.0,0.0,0.0,0.001266423
3819,0.0,0.0,0.0,0.0,0.0
3820,0.0,0.0,0.0,0.0,0.0
3821,0.0,0.0,0.0,0.0,0.0
3822,0.0,0.0,0.0,0.0,0.0
3823,0.0,0.0,0.0,0.0,0.0
3824,0.0,0.0,0.0,0.0,0.0
3825,0.0,0.0,0.0,0.0,0.0
3826,0.0,0.0,0.0,0.0,0.0
3827,0.0,0.0,0.0,0.0,0.0
3828,0.0,0.0,0.0,0.0,0.0
3829,0.0,0.0,0.0,0.0,0.0
3830,0.0,0.0,0.0,0.0,0.0
3831,0.0,0.0,0.0,0.0,0.0
3832,0.0,0.0,0.0,0.0,0.0
3833,0.0,0.0,0.0,0.0,0.0
3834,0.0,0.0,0.0,0.0,0.0
3835,0.0,0.0,0.0,0.0,0.0
3836,0.0,0.0,0.0,0.0,0.0
3837,0.0,0.0,0.0,0.0,0.0
3838,0.0,0.0,0.0,0.0,0.0
3851,0.0,0.0,0.0,0.0,0.0
3852,0.0,0.0,0.0,0.0,0.0
3853,0.000151681,0.0,0.005169899,0.0,0.0
3854,0.000379203,0.0,0.0,0.0,0.006927739
3855,0.0,0.0,0.0,0.0,0.0
3856,0.0,0.0,0.0,0.0,0.0
3857,0.0,0.0,0.0,0.0,0.0
3858,0.0,0.0,0.0,0.0,0.0
3859,0.0,0.0,0.0,0.0,0.0
3860,0.0,0.0,0.0,0.0,0.0
3861,0.0,0.0,0.0,0.0,0.0
3862,0.0,0.0,0.0,0.0,0.0
3863,0.0,0.0,0.0,0.0,0.0
3864,0.0,0.0,0.0,0.0,0.0
3865,0.0,0.0,0.0,0.0,0.0
3866,0.0,0.0,0.0,0.0,0.0
3867,0.0,0.0,0.0,0.0,0.0
3868,0.0,0.0,0.0,0.0,0.0
3869,0.0,0.0,0.0,0.0,0.0
3870,0.0,0.0,0.0,0.0,0.0
3871,0.0,0.0,0.0,0.0,0.0
3872,0.0,0.0,0.0,0.0,0.0
3873,0.01175214,0.001275761,0.01309345,0.009287373,0.002104922
3874,0.0,0.0,0.0,0.0,0.0
3875,0.001453612,0.000161222,0.000500664,0.001173679,0.000266007
3876,0.0,0.0,0.0,0.0,0.0
3877,0.0,0.0,0.0,0.0,0.0
3878,0.0,0.0,0.0,0.0,0.0
3879,0.0,0.0,0.0,0.0,0.0
3880,0.0,0.0,0.0,0.0,0.0
3881,0.0,0.0,0.0,0.0,0.0
3882,0.000161161,0.001783962,0.0,0.0,0.0
3883,0.0,0.0,0.0,0.0,0.0
3884,0.001406212,0.000122669,0.011112562,0.000893017,0.000202396
3885,0.0,0.0,0.0,0.0,0.0
3886,0.0,0.0,0.0,0.0,0.0
3887,4.74004e-05,0.0,0.0,0.0,0.000844282
3888,0.000151681,0.001685826,0.0,0.0,0.0
3889,0.0,0.0,0.0,0.0,0.0
3890,4.74004e-05,0.0,0.0,0.0,0.000844282
3891,0.0,0.0,0.0,0.0,0.0
3892,0.0,0.0,0.0,0.0,0.0
3893,0.0,0.0,0.0,0.0,0.0
3894,0.0,0.0,0.0,0.0,0.0
3895,0.0,0.0,0.0,0.0,0.0
3896,0.0,0.0,0.0,0.0,0.0
3897,0.0,0.0,0.0,0.0,0.0
3898,0.0,0.0,0.0,0.0,0.0
3899,0.0,0.0,0.0,0.0,0.0
3900,0.0,0.0,0.0,0.0,0.0
3901,0.0,0.0,0.0,0.0,0.0
3902,0.0,0.0,0.0,0.0,0.0
3925,0.0,0.0,0.0,0.0,0.0
3926,0.0,0.0,0.0,0.0,0.0
3927,0.0,0.0,0.0,0.0,0.0
3928,0.0,0.0,0.0,0.0,0.0
3929,0.0,0.0,0.0,0.0,0.0
3930,0.0,0.0,0.0,0.0,0.0
3931,0.0,0.0,0.0,0.0,0.0
3932,0.0,0.0,0.0,0.0,0.0
3933,0.0,0.0,0.0,0.0,0.0
3934,0.0,0.0,0.0,0.0,0.0
3935,0.0,0.0,0.0,0.0,0.0
3936,0.0,0.0,0.0,0.0,0.0
3937,0.0,0.0,0.0,0.0,0.0
3938,0.0,0.0,0.0,0.0,0.0
3939,0.0,0.0,0.0,0.0,0.0
3940,0.002787144,0.000308426,0.000957792,0.002245299,0.000508882
3965,0.0,0.0,0.0,0.0,0.0
3966,0.0,0.0,0.0,0.0,0.0
3977,0.000252802,0.0,0.008739851,0.0,0.0
3978,0.000628845,7.00967e-05,0.00021768,0.000510295,0.000115655
3979,0.006860418,0.000757045,0.002350944,0.005511188,0.001833133
3980,0.0,0.0,0.0,0.0,0.0
3981,0.0,0.0,0.0,0.0,0.0
3982,0.009233599,0.003031684,0.011776486,0.007067589,0.002376712
3983,0.007195381,0.006403337,0.007379351,0.005051923,0.006228026
3984,0.0,0.0,0.0,0.0,0.0
3985,0.0,0.0,0.0,0.0,0.0
3986,0.0,0.0,0.0,0.0,0.0
3987,0.0,0.0,0.0,0.0,0.0
3988,0.0,0.0,0.0,0.0,0.0
3989,0.0,0.0,0.0,0.0,0.0
3990,0.0,0.0,0.0,0.0,0.0
3991,0.0,0.0,0.0,0.0,0.0
3992,0.011180175,0.001240712,0.003852935,0.009032225,0.002047095
3993,0.001617934,0.000178747,0.000555084,0.001301253,0.00029492
3994,0.001061769,0.000119164,0.000370056,0.000867502,0.000196614
3995,0.000180122,0.002004767,0.0,0.0,0.0
3996,4.42404e-05,0.000490677,0.0,0.0,0.0
3997,0.0,0.0,0.0,0.0,0.0
3998,0.034194651,0.009897659,0.010601014,0.024851377,0.057636704
3999,0.0,0.0,0.0,0.0,0.0
4000,0.0,0.0,0.0,0.0,0.0
4001,0.002275219,0.000252348,0.000783648,0.001837063,0.000416358
4002,0.002584902,0.000206785,0.000642156,0.001505371,0.01379765
4003,0.0,0.0,0.0,0.0,0.0
4004,0.000758406,8.41161e-05,0.000261216,0.000612354,0.000138786
4005,0.001791735,0.015764755,0.012745162,0.0,0.0
4006,0.0,0.0,0.0,0.0,0.0
4007,0.0,0.0,0.0,0.0,0.0
4008,0.0,0.0,0.0,0.0,0.0
4023,0.0,0.0,0.0,0.0,0.0
4024,0.000230682,0.0,0.007967087,0.0,0.0
4025,0.0,0.0,0.0,0.0,0.0
4026,0.0,0.0,0.0,0.0,0.0
4027,0.0,0.0,0.0,0.0,0.0
4028,0.0,0.0,0.0,0.0,0.0
4029,0.0,0.0,0.0,0.0,0.0
4030,0.0,0.0,0.0,0.0,0.0
4031,0.0,0.0,0.0,0.0,0.0
4163,0.0,0.0,0.0,0.0,0.0
4164,0.0,0.0,0.0,0.0,0.0
4165,0.0,0.0,0.0,0.0,0.0
4166,0.0,0.0,0.0,0.0,0.0
4167,0.0,0.0,0.0,0.0,0.0
4168,0.002515381,0.0,0.0,0.0,0.046053849
4174,0.0,0.0,0.0,0.0,0.0
4175,0.001453612,0.000161222,0.000500664,0.001173679,0.000266007
4182,0.0,0.0,0.0,0.0,0.0
4183,0.0,0.0,0.0,0.0,0.0
4184,0.0,0.0,0.0,0.0,0.0
4185,0.00236686,0.000252348,0.000783648,0.001837063,0.001885178
4189,0.0,0.0,0.0,0.0,0.0
4190,0.0,0.0,0.0,0.0,0.0
4191,0.0,0.0,0.0,0.0,0.0
4192,4.74004e-05,0.0,0.0,0.0,0.000855848
4201,0.0,0.0,0.0,0.0,0.0
4202,0.0,0.0,0.0,0.0,0.0
4203,4.10804e-05,0.0,0.0,0.0,0.000745975
4204,0.0,0.0,0.0,0.0,0.0
4205,0.0,0.0,0.0,0.0,0.0
4206,0.0,0.0,0.0,0.0,0.0
4207,0.0,0.0,0.0,0.0,0.0
4208,0.0,0.0,0.0,0.0,0.0
4209,0.0,0.0,0.0,0.0,0.0
4210,0.0,0.0,0.0,0.0,0.0
4211,0.0,0.0,0.0,0.0,0.0
4212,3.16003e-05,0.0,0.0,0.002653535,0.0
4213,0.0,0.0,0.0,0.0,0.0
4214,0.0,0.0,0.0,0.0,0.0
4219,0.0,0.0,0.0,0.0,0.0
4220,0.0,0.0,0.0,0.0,0.0
4221,0.000897448,9.81354e-05,0.000304752,0.000714413,0.000161917
4223,0.0,0.0,0.0,0.0,0.0
4224,0.000758406,8.41161e-05,0.000261216,0.000612354,0.000138786
4225,0.0,0.0,0.0,0.0,0.0
4226,0.0,0.0,0.0,0.0,0.0
4227,0.0,0.0,0.0,0.0,0.0
4228,0.0,0.0,0.0,0.0,0.0
4229,0.0,0.0,0.0,0.0,0.0
4230,0.000255962,0.0,0.004734539,0.0,0.002185881
4231,0.0,0.0,0.0,0.0,0.0
4232,0.0,0.0,0.0,0.0,0.0
4233,0.0,0.0,0.0,0.0,0.0
4237,0.000407643,0.001752418,0.0,0.012604292,0.001688564
4238,0.0,0.0,0.0,0.0,0.0
4239,0.0,0.0,0.0,0.0,0.0
4240,0.0,0.0,0.0,0.0,0.0
4241,0.0,0.0,0.0,0.0,0.0
4242,0.000154841,0.001706855,0.0,0.0,0.0
4243,0.0,0.0,0.0,0.0,0.0
4244,0.0,0.0,0.0,0.0,0.0
4245,0.0,0.0,0.0,0.0,0.0
4246,0.0,0.0,0.0,0.0,0.0
4247,0.0,0.0,0.0,0.0,0.0
4248,0.0,0.0,0.0,0.0,0.0
4249,0.0,0.0,0.0,0.0,0.0
4250,0.0,0.0,0.0,0.0,0.0
4251,0.0,0.0,0.0,0.0,0.0
4252,0.0,0.0,0.0,0.0,0.0
4253,0.006373774,0.009904668,0.0019047,0.004465083,0.001011982
4254,0.002120378,0.002022291,0.000674808,0.001581915,0.000358531
4255,0.002221499,5.25726e-05,0.00016326,0.000382721,0.032123196
4256,0.008778555,0.000851675,0.002644812,0.006200087,0.021795198
4257,0.000407643,0.001177625,0.0,0.0,0.005528312
4258,0.004145955,0.000459134,0.001425804,0.003342434,0.000757541
4259,0.0,0.0,0.0,0.0,0.0
4260,6.32005e-05,0.0,0.0,0.0,0.001144985
4261,0.0,0.0,0.0,0.0,0.0
4262,0.000176962,0.0,0.0,0.0,0.003215211
4263,0.000199082,0.0,0.0,0.0,0.003660483
4264,0.0,0.0,0.0,0.0,0.0
4265,0.001466252,0.001104024,0.000402708,0.000944046,0.003793486
4266,0.0,0.0,0.0,0.0,0.0
4267,0.0,0.0,0.0,0.0,0.0
4268,0.0,0.0,0.0,0.0,0.0
4269,0.0,0.0,0.0,0.0,0.0
4270,0.039418176,0.01640614,0.012157426,0.034929707,0.06010594
4271,0.017354868,0.003462779,0.007194323,0.012578777,0.031654793
4272,0.0,0.0,0.0,0.0,0.0
4273,0.0,0.0,0.0,0.0,0.0
4274,0.0,0.0,0.0,0.0,0.0
4275,8.21607e-05,0.0,0.0,0.0,0.001503516
4276,0.0,0.0,0.0,0.0,0.0
4277,0.0,0.0,0.0,0.0,0.0
4278,0.000129561,0.001436983,0.0,0.0,0.0
4279,0.0,0.0,0.0,0.0,0.0
4280,0.001956057,0.000206785,0.000642156,0.001505371,0.002284188
4281,0.0,0.0,0.0,0.0,0.0
4282,0.0,0.0,0.0,0.0,0.0
4291,0.0,0.0,0.0,0.0,0.0
4292,0.018682079,0.017072059,0.096726093,0.011430613,0.011143366
4293,0.000230682,2.45339e-05,7.6188e-05,0.000178603,4.04793e-05
4294,0.0,0.0,0.0,0.0,0.0
4295,0.0,0.0,0.0,0.0,0.0
4296,0.003630871,0.003385672,0.017022573,0.002066696,0.006627036
4297,0.0,0.0,0.0,0.0,0.0
4298,0.0,0.0,0.0,0.0,0.0
4299,0.0,0.0,0.0,0.0,0.0
4300,0.0,0.0,0.0,0.0,0.0
4301,0.0,0.0,0.0,0.0,0.0
4302,0.0,0.0,0.0,0.0,0.0
4303,0.0,0.0,0.0,0.0,0.0
4304,0.0,0.0,0.0,0.0,0.0
4305,0.003346469,0.000364503,0.003406691,0.002653535,0.000601406
4306,0.0,0.0,0.0,0.0,0.0
4307,0.0,0.0,0.0,0.0,0.0
4308,0.0,0.0,0.0,0.0,0.0
4309,0.0,0.0,0.0,0.0,0.0
4310,0.0,0.0,0.0,0.0,0.0
4311,0.0,0.0,0.0,0.0,0.0
4312,0.0,0.0,0.0,0.0,0.0
4313,0.0,0.0,0.0,0.0,0.0
4314,0.0,0.0,0.0,0.0,0.0
4315,0.0,0.0,0.0,0.0,0.0
4316,0.0,0.0,0.0,0.0,0.0
4317,0.0,0.0,0.0,0.0,0.0
4318,0.0,0.0,0.0,0.0,0.0
4319,0.0,0.0,0.0,0.0,0.0
4320,0.0,0.0,0.0,0.0,0.0
4321,0.0,0.0,0.0,0.0,0.0
4322,0.002006617,0.00022431,0.000696576,0.001632945,0.000370096
4323,0.0,0.0,0.0,0.0,0.0
4324,0.0,0.0,0.0,0.0,0.0
4325,0.000161161,0.001780457,0.0,0.0,0.0
4326,0.0,0.0,0.0,0.0,0.0
4327,0.0,0.0,0.0,0.0,0.0
4346,0.002170938,0.00375368,0.003526415,0.001428827,0.000323834
4347,0.0,0.0,0.0,0.0,0.0
4348,0.0,0.0,0.0,0.0,0.0
4349,0.0,0.0,0.0,0.0,0.0
4350,0.0,0.0,0.0,0.0,0.0
4351,0.0,0.0,0.0,0.0,0.0
4352,0.0,0.0,0.0,0.0,0.0
4353,0.0,0.0,0.0,0.0,0.0
4354,0.0,0.0,0.0,0.0,0.0
4355,0.0,0.0,0.0,0.0,0.0
4356,0.0,0.0,0.0,0.0,0.0
4357,0.0,0.0,0.0,0.0,0.0
4358,0.0,0.0,0.0,0.0,0.0
4359,0.0,0.0,0.0,0.0,0.0
4360,0.0,0.0,0.0,0.0,0.0
4361,0.0,0.0,0.0,0.0,0.0
4362,0.0,0.0,0.0,0.0,0.0
4363,0.0,0.0,0.0,0.0,0.0
4364,0.0,0.0,0.0,0.0,0.0
4365,0.0,0.0,0.0,0.0,0.0
4366,0.0,0.0,0.0,0.0,0.0
4367,0.0,0.0,0.0,0.0,0.0
4390,0.0,0.0,0.0,0.0,0.0
4391,0.0,0.0,0.0,0.0,0.0
4392,0.000151681,0.001678817,0.0,0.0,0.0
4393,0.000360243,3.85532e-05,0.000119724,0.000280662,6.36103e-05
4394,0.0,0.0,0.0,0.0,0.0
4395,0.001045969,0.00011566,0.000359172,0.000841987,0.000190831
4396,0.001975017,0.000199776,0.000620388,0.001454341,0.003278821
4397,0.000205402,0.0,0.007020179,0.0,0.0
4398,0.00115657,0.000119164,0.003667907,0.000867502,0.000196614
4399,0.004019554,0.000371513,0.018339537,0.002704565,0.00359109
4400,0.0,0.0,0.0,0.0,0.0
4401,0.004095395,0.000410066,0.015411742,0.002985227,0.000676582
4402,0.00354239,0.000392542,0.001219008,0.002857653,0.000647668
4403,0.0,0.0,0.0,0.0,0.0
4404,9.79608e-05,0.001097014,0.0,0.0,0.0
4405,0.0,0.0,0.0,0.0,0.0
4406,0.000600405,0.0,0.008032391,0.0,0.006731125
4407,0.000312843,0.003455769,0.0,0.0,0.0
4408,8.84808e-05,0.000981354,0.0,0.0,0.0
4409,0.006395894,0.00171036,0.015346438,0.00477126,0.001081375
4410,0.000164321,0.0,0.005659679,0.0,0.0
4411,0.000366563,0.002285154,0.005539955,0.0,0.0
4412,0.0,0.0,0.0,0.0,0.0
4413,0.0,0.0,0.0,0.0,0.0
4414,0.0,0.0,0.0,0.0,0.0
4415,0.0,0.0,0.0,0.0,0.0
4416,0.00701842,0.009648815,0.004593047,0.023575639,0.002995466
4417,0.001551573,0.000171737,0.000533316,0.001250223,0.000283355
4418,0.0,0.0,0.0,0.0,0.0
4419,0.0,0.0,0.0,0.0,0.0
4420,0.0,0.0,0.0,0.0,0.0
4421,0.0,0.0,0.0,0.0,0.0
4422,0.0,0.0,0.0,0.0,0.0
4423,0.0,0.0,0.0,0.0,0.0
4424,0.000123241,0.0,0.004244759,0.0,0.0
4425,0.0,0.0,0.0,0.0,0.0
4426,0.0,0.0,0.0,0.0,0.0
4427,0.0,0.0,0.0,0.0,0.0
4428,0.0,0.0,0.0,0.0,0.0
4429,0.0,0.0,0.0,0.0,0.0
4430,0.000973288,9.11258e-05,0.005507303,0.000663384,0.000150352
4431,0.0,0.0,0.0,0.0,0.0
4432,0.0,0.0,0.0,0.0,0.0
4433,0.000584605,0.002684705,0.005148131,0.0,0.003556393
4434,0.0,0.0,0.0,0.0,0.0
4435,0.003273788,0.000364503,0.001131936,0.002653535,0.000601406
4436,0.00348867,0.003105285,0.001055748,0.002474932,0.00359109
4437,5.05604e-05,0.000546755,0.0,0.0,0.0
4438,0.0,0.0,0.0,0.0,0.0
4439,0.000120081,0.001345857,0.0,0.0,0.0
4440,0.0,0.0,0.0,0.0,0.0
4441,0.0,0.0,0.0,0.0,0.0
4442,0.002423741,0.000234824,0.011036374,0.001709489,0.000387444
4443,0.0,0.0,0.0,0.0,0.0
4444,0.0,0.0,0.0,0.0,0.0
4445,0.000192762,0.000315435,0.00201354,0.0,0.001943005
4446,0.0,0.0,0.0,0.0,0.0
4447,0.0,0.0,0.0,0.0,0.0
4448,0.0,0.0,0.0,0.0,0.0
4449,0.000524564,0.0,0.018056553,0.0,0.0
4450,0.000385523,0.004286415,0.0,0.0,0.0
4451,0.001090209,0.000105145,0.004930451,0.000765443,0.000173483
4452,0.000123241,0.0,0.004201223,0.0,0.0
4453,0.0,0.0,0.0,0.0,0.0
4454,0.0,0.0,0.0,0.0,0.0
4455,0.0,0.0,0.0,0.0,0.0
4471,0.000862687,9.46306e-05,0.000293868,0.000688899,0.000156134
4472,0.00113445,8.06112e-05,0.01423627,0.000586839,0.000133003
4473,0.003981634,0.001587691,0.001338732,0.003138316,0.000711279
4474,0.002973585,0.003757185,0.004179455,0.002066696,0.000468403
4475,0.004332397,0.001184635,0.00146934,0.003444493,0.000780672
4476,0.000587765,0.002435861,0.012690742,0.0,0.0
4477,0.000660446,0.00085518,0.008663663,0.000280662,6.36103e-05
4478,0.000325483,0.0,0.011221402,0.0,0.0
4479,0.0,0.0,0.0,0.0,0.0
4480,8.84808e-05,0.000974345,0.0,0.0,0.0
4481,0.0,0.0,0.0,0.0,0.0
4482,0.0,0.0,0.0,0.0,0.0
4483,0.000274922,0.001612225,0.004505975,0.0,0.0
4484,0.0,0.0,0.0,0.0,0.0
4485,0.0,0.0,0.0,0.0,0.0
4486,0.0,0.0,0.0,0.0,0.0
4487,0.001624254,0.00011566,0.010818694,0.000841987,0.005077258
4488,0.019816529,0.004878733,0.041108862,0.014926135,0.004712944
4489,0.0,0.0,0.0,0.0,0.0
4490,0.0,0.0,0.0,0.0,0.0
4491,0.0,0.0,0.0,0.0,0.0
4492,0.000237002,0.001436983,0.003667907,0.0,0.0
4493,0.001368292,0.00172438,0.04172925,0.0,0.0
4494,0.000553005,0.003613487,0.007825595,0.0,0.0
4495,0.0,0.0,0.0,0.0,0.0
4496,0.0,0.0,0.0,0.0,0.0
4497,0.0,0.0,0.0,0.0,0.0
4498,0.000192762,0.001479041,0.0,0.0,0.001069809
4499,0.0,0.0,0.0,0.0,0.0
4500,0.0,0.0,0.0,0.0,0.0
4501,0.000230682,0.0,0.007967087,0.0,0.0
4502,0.003093666,0.006091406,0.000859836,0.008547445,0.000456838
4503,0.022682673,0.071453105,0.008086811,0.012859439,0.010385825
4504,0.002158298,0.004524744,0.000609504,0.001428827,0.000323834
4505,0.000205402,0.002285154,0.0,0.0,0.0
4506,0.0,0.0,0.0,0.0,0.0
4507,0.0,0.0,0.0,0.0,0.0
4508,0.0,0.0,0.0,0.0,0.0
4509,0.0,0.0,0.0,0.0,0.0
4510,0.0,0.0,0.0,0.0,0.0
4511,0.0,0.0,0.0,0.0,0.0
4512,0.0,0.0,0.0,0.0,0.0
4513,0.0,0.0,0.0,0.0,0.0
4514,0.0,0.0,0.0,0.0,0.0
